DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2016,6.60,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2017,6.59,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2018,6.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2019,5.94,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2020,5.77,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,ES,2021,6.19,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2011,5.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2012,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2013,5.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2014,5.20,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2015,5.22,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2016,5.16,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2017,5.08,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2018,5.12,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU,2019,5.07,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2011,5.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2012,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2013,5.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2014,5.20,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2015,5.22,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2016,5.16,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2017,5.08,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2018,5.12,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2007,2019,5.08,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2011,4.99,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2012,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2013,5.05,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2014,5.22,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2015,5.22,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2016,5.16,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2017,5.03,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2018,5.05,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2019,4.99,e
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2020,4.89,b
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU27_2020,2021,4.97,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2011,5.03,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2012,4.98,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2013,5.00,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2014,5.20,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2015,5.22,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2016,5.16,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2017,5.08,
ESTAT:TESPM151(1.0),03/04/23 23:00:00,A,TOTAL,T,RAT,EU28,2018,5.12,
