DATAFLOW,LAST UPDATE,freq,unit,spdeps,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2011,5668.05,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2012,5422.07,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2013,5386.32,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2014,5368.49,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2015,5434.71,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2016,5407.41,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2017,5445.80,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2018,5573.72,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2019,5793.35,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,ES,2020,6443.74,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2009,7081.20,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2010,7130.49,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2011,7122.23,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2012,7143.84,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2013,7218.43,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2014,7307.97,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2015,7444.25,
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2016,7585.41,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2017,7660.42,p
ESTAT:TPS00099(1.0),14/03/23 23:00:00,A,EUR_HAB_KP10,TOTALNOREROUTE,EU27_2020,2018,7749.29,p
